nome;estacao_cod;latitude;longitude;data;max_temp;min_temp;amplitude
BARBACENA;A502;-21.228333;-43.767778;2020-02-14;28.20;16.80;11.40
BARBACENA;A502;-21.228333;-43.767778;2020-02-15;30.20;18.40;11.80
BARBACENA;A502;-21.228333;-43.767778;2020-02-16;27.60;19.00;8.60
BARBACENA;A502;-21.228333;-43.767778;2020-02-17;28.10;17.30;10.80
BARBACENA;A502;-21.228333;-43.767778;2020-02-18;28.10;18.30;9.80
BARBACENA;A502;-21.228333;-43.767778;2020-02-19;30.60;17.60;13.00
BARBACENA;A502;-21.228333;-43.767778;2020-02-20;30.80;18.50;12.30
BARBACENA;A502;-21.228333;-43.767778;2020-02-21;26.10;17.40;8.70
BARBACENA;A502;-21.228333;-43.767778;2020-02-22;27.50;17.40;10.10
BARBACENA;A502;-21.228333;-43.767778;2020-02-23;19.90;15.30;4.60
BARBACENA;A502;-21.228333;-43.767778;2020-02-24;21.60;14.30;7.30
BARBACENA;A502;-21.228333;-43.767778;2020-02-25;27.50;16.10;11.40
BARBACENA;A502;-21.228333;-43.767778;2020-02-26;27.80;19.10;8.70
BARBACENA;A502;-21.228333;-43.767778;2020-02-27;27.20;17.70;9.50
BARBACENA;A502;-21.228333;-43.767778;2020-02-28;19.30;15.50;3.80
BARBACENA;A502;-21.228333;-43.767778;2020-02-29;23.10;17.40;5.70
BARBACENA;A502;-21.228333;-43.767778;2020-03-01;24.30;17.80;6.50
BARBACENA;A502;-21.228333;-43.767778;2020-03-02;17.80;14.60;3.20
BARBACENA;A502;-21.228333;-43.767778;2020-03-03;20.80;14.80;6.00
BARBACENA;A502;-21.228333;-43.767778;2020-03-04;27.40;17.10;10.30
BARBACENA;A502;-21.228333;-43.767778;2020-03-05;26.20;15.40;10.80
BARBACENA;A502;-21.228333;-43.767778;2020-03-06;24.80;14.40;10.40
BARBACENA;A502;-21.228333;-43.767778;2020-03-07;24.10;14.20;9.90
BARBACENA;A502;-21.228333;-43.767778;2020-03-08;25.30;15.10;10.20
BARBACENA;A502;-21.228333;-43.767778;2020-03-09;24.90;14.50;10.40
BARBACENA;A502;-21.228333;-43.767778;2020-03-10;25.70;15.20;10.50
BARBACENA;A502;-21.228333;-43.767778;2020-03-11;26.60;16.30;10.30
BARBACENA;A502;-21.228333;-43.767778;2020-03-12;26.80;15.50;11.30
BARBACENA;A502;-21.228333;-43.767778;2020-03-13;26.90;17.20;9.70
BARBACENA;A502;-21.228333;-43.767778;2020-03-14;25.70;17.80;7.90
BARBACENA;A502;-21.228333;-43.767778;2020-03-15;27.20;18.30;8.90
BARBACENA;A502;-21.228333;-43.767778;2020-03-16;29.00;16.30;12.70
BARBACENA;A502;-21.228333;-43.767778;2020-03-17;28.40;16.20;12.20
BARBACENA;A502;-21.228333;-43.767778;2020-03-18;29.00;16.50;12.50
BARBACENA;A502;-21.228333;-43.767778;2020-03-19;28.90;17.80;11.10
BARBACENA;A502;-21.228333;-43.767778;2020-03-20;27.20;18.60;8.60
BARBACENA;A502;-21.228333;-43.767778;2020-03-21;23.60;17.80;5.80
BARBACENA;A502;-21.228333;-43.767778;2020-03-22;21.40;15.20;6.20
BARBACENA;A502;-21.228333;-43.767778;2020-03-23;23.40;15.10;8.30
BARBACENA;A502;-21.228333;-43.767778;2020-03-24;22.80;12.90;9.90
BARBACENA;A502;-21.228333;-43.767778;2020-03-25;23.20;13.20;10.00
BARBACENA;A502;-21.228333;-43.767778;2020-03-26;24.30;13.00;11.30
BARBACENA;A502;-21.228333;-43.767778;2020-03-27;23.60;13.40;10.20
BARBACENA;A502;-21.228333;-43.767778;2020-03-28;24.20;15.20;9.00
BARBACENA;A502;-21.228333;-43.767778;2020-03-29;25.30;15.80;9.50
BARBACENA;A502;-21.228333;-43.767778;2020-03-30;26.70;17.30;9.40
BARBACENA;A502;-21.228333;-43.767778;2020-03-31;28.20;16.60;11.60
BARBACENA;A502;-21.228333;-43.767778;2020-04-01;25.40;17.50;7.90
BARBACENA;A502;-21.228333;-43.767778;2020-04-02;25.90;18.10;7.80
BARBACENA;A502;-21.228333;-43.767778;2020-04-03;26.30;18.50;7.80
BARBACENA;A502;-21.228333;-43.767778;2020-04-04;26.60;14.40;12.20
BARBACENA;A502;-21.228333;-43.767778;2020-04-05;26.00;13.80;12.20
BARBACENA;A502;-21.228333;-43.767778;2020-04-06;26.60;16.80;9.80
BARBACENA;A502;-21.228333;-43.767778;2020-04-07;29.10;18.10;11.00
BARBACENA;A502;-21.228333;-43.767778;2020-04-08;20.60;16.70;3.90
BARBACENA;A502;-21.228333;-43.767778;2020-04-09;19.90;14.40;5.50
BARBACENA;A502;-21.228333;-43.767778;2020-04-10;24.60;14.20;10.40
BARBACENA;A502;-21.228333;-43.767778;2020-04-11;24.10;15.90;8.20
BARBACENA;A502;-21.228333;-43.767778;2020-04-12;18.50;14.30;4.20
BARBACENA;A502;-21.228333;-43.767778;2020-04-13;22.00;12.40;9.60
BARBACENA;A502;-21.228333;-43.767778;2020-04-14;24.60;14.60;10.00
BARBACENA;A502;-21.228333;-43.767778;2020-04-15;25.20;15.70;9.50
